	3.29919434
8.67199993	3.29919434
8.67500019	3.29919434
8.67700005	3.29919434
8.68000031	3.29919434
8.68299961	3.29919434
8.68500042	3.29919434
8.68799973	3.29919434
8.69099998	3.29919434
8.69299984	3.29919434
8.69600010	3.29919434
8.69799995	3.29919434
8.70100021	3.29919434
8.70400047	3.29919434
8.70600033	3.29919434
8.70899963	3.29919434
8.71100044	3.29919434
8.71399975	3.29919434
8.71700001	3.29919434
8.71899986	3.29919434
8.72200012	3.29919434
8.72399998	3.29919434
8.72700024	3.29919434
8.72999954	3.29919434
8.73200035	3.29919434
8.73499966	3.29919434
8.73799992	3.29919434
8.73999977	3.29919434
8.74300003	3.29919434
8.74499989	3.29919434
8.74800014	3.29919434
8.75100040	3.29919434
8.75300026	3.29919434
8.75599957	3.29919434
8.75800037	3.29919434
8.76099968	3.29919434
8.76399994	3.29919434
8.76599979	3.29919434
8.76900005	3.29919434
8.77099991	3.29919434
8.77400017	3.29919434
8.77700043	3.29919434
8.77900028	3.29919434
8.78199959	3.29919434
8.78499985	3.29919434
8.78699970	3.29919434
8.78999996	3.29919434
8.79199982	3.29919434
8.79500008	3.29919434
8.79800034	3.29919434
8.80000019	3.29919434
8.80300045	3.29919434
8.80500031	3.29919434
8.80799961	3.29919434
8.81099987	3.29919434
8.81299973	3.29919434
8.81599998	3.29919434
8.81799984	3.29919434
8.82100010	3.29919434
8.82400036	3.29919434
8.82600021	3.29919434
8.82900047	3.29919434
8.83199978	3.29919434
8.83399963	3.29919434
8.83699989	3.29919434
8.83899975	3.29919434
8.84200001	3.29919434
8.84500027	3.29919434
8.84700012	3.29919434
8.85000038	3.29919434
8.85200024	3.29919434
8.85499954	3.29919434
8.85799980	3.29919434
8.85999966	3.29919434
8.86299992	3.29919434
8.86499977	3.29919434
8.86800003	3.29919434
8.87100029	3.29919434
8.87300014	3.29919434
8.87600040	3.29919434
8.87899971	3.29919434
8.88099957	3.29919434
8.88399982	3.29919434
8.88599968	3.29919434
8.88899994	3.29919434
8.89200020	3.29919434
8.89400005	3.29919434
8.89700031	3.29919434
8.89900017	3.29919434
8.90200043	3.29919434
8.90499973	3.29919434
8.90699959	3.29919434
8.90999985	3.29919434
8.91199970	3.29919434
8.91499996	3.29919434
8.91800022	3.29919434
8.92000008	3.29919434
8.92300034	3.29919434
8.92599964	3.29919434
8.92800045	3.29919434
8.93099976	3.29919434
8.93299961	3.29919434
8.93599987	3.29919434
8.93900013	3.29919434
8.94099998	3.29919434
8.94400024	3.29919434
8.94600010	3.29919434
8.94900036	3.29919434
8.95199966	3.29919434
8.95400047	3.29919434
8.95699978	3.29919434
8.96000004	3.29919434
8.96199989	3.29919434
8.96500015	3.29919434
8.96700001	3.29919434
8.97000027	3.29919434
8.97299957	3.29919434
8.97500038	3.29919434
8.97799969	3.29919434
8.97999954	3.29919434
8.98299980	3.29919434
8.98600006	3.29919434
8.98799992	3.29919434
8.99100018	3.29919434
8.99300003	3.29919434
8.99600029	3.29919434
8.99899960	3.29919434
9.00100040	3.29919434
9.00399971	3.29919434
9.00599957	3.29919434
9.00899982	3.29919434
9.01200008	3.29919434
9.01399994	3.29919434
9.01700020	3.29919434
9.02000046	3.29919434
9.02200031	3.29919434
9.02499962	3.29919434
9.02700043	3.29919434
9.02999973	3.29919434
9.03299999	3.29919434
9.03499985	3.29919434
9.03800011	3.29919434
9.03999996	3.29919434
9.04300022	3.29919434
9.04599953	3.29919434
9.04800034	3.29919434
9.05099964	3.29919434
9.05300045	3.29919434
9.05599976	3.29919434
9.05900002	3.29919434
9.06099987	3.29919434
9.06400013	3.29919434
9.06599998	3.29919434
9.06900024	3.29919434
9.07199955	3.29919434
9.07400036	3.29919434
9.07699966	3.29919434
9.07999992	3.29919434
9.08199978	3.29919434
9.08500004	3.29919434
9.08699989	3.29919434
9.09000015	3.29919434
9.09300041	3.29919434
9.09500027	3.29919434
9.09799957	3.29919434
9.10000038	3.29919434
9.10299969	3.29919434
9.10599995	3.29919434
9.10799980	3.29919434
9.11100006	3.29919434
9.11299992	3.29919434
9.11600018	3.29919434
9.11900043	3.29919434
9.12100029	3.29919434
9.12399960	3.29919434
9.12600040	3.29919434
9.12899971	3.29919434
9.13199997	3.29919434
9.13399982	3.29919434
9.13700008	3.29919434
9.14000034	3.29919434
9.14200020	3.29919434
9.14500046	3.29919434
9.14700031	3.29919434
9.14999962	3.29919434
9.15299988	3.29919434
9.15499973	3.29919434
9.15799999	3.29919434
9.15999985	3.29919434
9.16300011	3.29919434
9.16600037	3.29919434
9.16800022	3.29919434
9.17099953	3.29919434
9.17300034	3.29919434
9.17599964	3.29919434
9.17899990	3.29919434
9.18099976	3.29919434
9.18400002	3.29919434
9.18700027	3.29919434
9.18900013	3.29919434
9.19200039	3.29919434
9.19400024	3.29919434
9.19699955	3.29919434
9.19999981	3.29919434
9.20199966	3.29919434
9.20499992	3.29919434
9.20699978	3.29919434
9.21000004	3.29919434
9.21300030	3.29919434
9.21500015	3.29919434
9.21800041	3.29919434
9.22000027	3.29919434
9.22299957	3.29919434
9.22599983	3.29919434
9.22799969	3.29919434
9.23099995	3.29919434
9.23400021	3.29919434
9.23600006	3.29919434
9.23900032	3.29919434
9.24100018	3.29919434
9.24400043	3.29919434
9.24699974	3.29919434
9.24899960	3.29919434
9.25199986	3.29919434
9.25399971	3.29919434
9.25699997	3.29919434
9.26000023	3.29919434
9.26200008	3.29919434
9.26500034	3.29919434
9.26700020	3.29919434
9.27000046	3.29919434
9.27299976	3.29919434
9.27499962	3.29919434
9.27799988	3.29919434
9.28100014	3.29919434
9.28299999	3.29919434
9.28600025	3.29919434
9.28800011	3.29919434
9.29100037	3.29919434
9.29399967	3.29919434
9.29599953	3.29919434
9.29899979	3.29919434
9.30099964	3.29919434
9.30399990	3.29919434
9.30700016	3.29919434
9.30900002	3.29919434
9.31200027	3.29919434
9.31400013	3.29919434
9.31700039	3.29919434
9.31999969	3.29919434
9.32199955	3.29919434
9.32499981	3.29919434
9.32800007	3.29919434
9.32999992	3.29919434
9.33300018	3.29919434
9.33500004	3.29919434
9.33800030	3.29919434
9.34099960	3.29919434
9.34300041	3.29919434
9.34599972	3.29919434
9.34799957	3.29919434
9.35099983	3.29919434
9.35400009	3.29919434
9.35599995	3.29919434
9.35900021	3.29919434
9.36100006	3.29919434
9.36400032	3.29919434
9.36699963	3.29919434
9.36900043	3.29919434
9.37199974	3.29919434
9.37500000	3.29919434
9.37699986	3.29919434
9.38000011	3.29919434
9.38199997	3.29919434
9.38500023	3.29919434
9.38799953	3.29919434
9.39000034	3.29919434
9.39299965	3.29919434
9.39500046	3.29919434
9.39799976	3.29919434
9.40100002	3.29919434
9.40299988	3.29919434
9.40600014	3.29919434
9.40799999	3.29919434
9.41100025	3.29919434
9.41399956	3.29919434
9.41600037	3.29919434
9.41899967	3.29919434
9.42199993	3.29919434
9.42399979	3.29919434
9.42700005	3.29919434
9.42899990	3.29919434
9.43200016	3.29919434
9.43500042	3.29919434
9.43700027	3.29919434
9.43999958	3.29919434
9.44200039	3.29919434
9.44499969	3.29919434
9.44799995	3.29919434
9.44999981	3.29919434
9.45300007	3.29919434
9.45499992	3.29919434
9.45800018	3.29919434
9.46100044	3.29919434
9.46300030	3.29919434
9.46599960	3.29919434
9.46899986	3.29919434
9.47099972	3.29919434
9.47399998	3.29919434
9.47599983	3.29919434
9.47900009	3.29919434
9.48200035	3.29919434
9.48400021	3.29919434
9.48700047	3.29919434
9.48900032	3.29919434
9.49199963	3.29919434
9.49499989	3.29919434
9.49699974	3.29919434
9.50000000	3.29919434
9.50199986	3.29919434
9.50500011	3.29919434
9.50800037	3.29919434
9.51000023	3.29919434
9.51299953	3.29919434
9.51500034	3.29919434
9.51799965	3.29919434
9.52099991	3.29919434
9.52299976	3.29919434
9.52600002	3.29919434
9.52900028	3.29919434
9.53100014	3.29919434
9.53400040	3.29919434
9.53600025	3.29919434
9.53899956	3.29919434
9.54199982	3.29919434
9.54399967	3.29919434
9.54699993	3.29919434
9.54899979	3.29919434
9.55200005	3.29919434
9.55500031	3.29919434
9.55700016	3.29919434
9.56000042	3.29919434
9.56200027	3.29919434
9.56499958	3.29919434
9.56799984	3.29919434
9.56999969	3.29919434
9.57299995	3.29919434
9.57600021	3.29919434
9.57800007	3.29919434
9.58100033	3.29919434
9.58300018	3.29919434
9.58600044	3.29919434
9.58899975	3.29919434
9.59099960	3.29919434
9.59399986	3.29919434
9.59599972	3.29919434
9.59899998	3.29919434
9.60200024	3.29919434
9.60400009	3.29919434
9.60700035	3.29919434
9.60999966	3.29919434
9.61200047	3.29919434
9.61499977	3.29919434
9.61699963	3.29919434
9.61999989	3.29919434
9.62300014	3.29919434
9.62500000	3.29919434
9.62800026	3.29919434
9.63000011	3.29919434
9.63300037	3.29919434
9.63599968	3.29919434
9.63799953	3.29919434
9.64099979	3.29919434
9.64299965	3.29919434
9.64599991	3.29919434
9.64900017	3.29919434
9.65100002	3.29919434
9.65400028	3.29919434
9.65600014	3.29919434
9.65900040	3.29919434
9.66199970	3.29919434
9.66399956	3.29919434
9.66699982	3.29919434
9.67000008	3.29919434
9.67199993	3.29919434
9.67500019	3.29919434
9.67700005	3.29919434
9.68000031	3.29919434
9.68299961	3.29919434
9.68500042	3.29919434
9.68799973	3.29919434
9.68999958	3.29919434
9.69299984	3.29919434
9.69600010	3.29919434
9.69799995	3.29919434
9.70100021	3.29919434
9.70300007	3.29919434
9.70600033	3.29919434
9.70899963	3.29919434
9.71100044	3.29919434
9.71399975	3.29919434
9.71700001	3.29919434
9.71899986	3.29919434
9.72200012	3.29919434
9.72399998	3.29919434
9.72700024	3.29919434
9.72999954	3.29919434
9.73200035	3.29919434
9.73499966	3.29919434
9.73700047	3.29919434
9.73999977	3.29919434
9.74300003	3.29919434
9.74499989	3.29919434
9.74800014	3.29919434
9.75000000	3.29919434
9.75300026	3.29919434
9.75599957	3.29919434
9.75800037	3.29919434
9.76099968	3.29919434
9.76299953	3.29919434
9.76599979	3.29919434
9.76900005	3.29919434
9.77099991	3.29919434
9.77400017	3.29919434
9.77700043	3.29919434
9.77900028	3.29919434
9.78400040	3.29919434
9.78199959	3.29919434
9.78699970	3.29919434
9.78999996	3.29919434
9.79199982	3.29919434
9.79500008	3.29919434
9.79699993	3.29919434
9.80000019	3.29919434
9.80300045	3.29919434
9.80500031	3.29919434
9.80799961	3.29919434
9.81000042	3.29919434
9.81299973	3.29919434
9.81599998	3.29919434
9.81799984	3.29919434
9.82100010	3.29919434
9.82400036	3.29919434
9.82600021	3.29919434
9.82900047	3.29919434
9.83100033	3.29919434
9.83399963	3.29919434
9.83699989	3.29919434
9.83899975	3.29919434
9.84200001	3.29919434
9.84399986	3.29919434
9.84700012	3.29919434
9.85000038	3.29919434
9.85200024	3.29919434
9.85499954	3.29919434
9.85700035	3.29919434
9.85999966	3.29919434
9.86299992	3.29919434
9.86499977	3.29919434
9.86800003	3.29919434
9.87100029	3.29919434
9.87300014	3.29919434
9.87600040	3.29919434
9.87800026	3.29919434
9.88099957	3.29919434
9.88399982	3.29919434
9.88599968	3.29919434
9.88899994	3.29919434
9.89099979	3.29919434
9.89400005	3.29919434
9.89700031	3.29919434
9.89900017	3.29919434
9.90200043	3.29919434
9.90499973	3.29919434
9.90699959	3.29919434
9.90999985	3.29919434
9.91199970	3.29919434
9.91499996	3.29919434
9.91800022	3.29919434
9.92000008	3.29919434
9.92300034	3.29919434
9.92500019	3.29919434
9.92800045	3.29919434
9.93099976	3.29919434
9.93299961	3.29919434
9.93599987	3.29919434
9.93900013	3.29919434
9.94099998	3.29919434
9.94400024	3.29919434
9.94600010	3.29919434
9.94900036	3.29919434
9.95199966	3.29919434
9.95400047	3.29919434
9.95699978	3.29919434
9.95899963	3.29919434
9.96199989	3.29919434
9.96500015	3.29919434
9.96700001	3.29919434
9.97000027	3.29919434
9.97200012	3.29919434
9.97500038	3.29919434
9.97799969	3.29919434
9.97999954	3.29919434
9.98299980	3.29919434
9.98600006	3.29919434
9.98799992	3.29919434
9.99100018	3.29919434
9.99300003	3.29919434
9.99600029	3.29919434
9.99899960	3.29919434
10.00100040	3.29919434
10.00399971	3.29919434
10.00699997	3.29919434
10.00899982	3.29919434
10.01200008	3.29919434
10.01500034	3.29919434
10.01799965	3.29919434
10.02000046	3.29919434
10.02299976	3.29919434
10.02600002	3.29919434
10.02799988	3.29919434
10.03100014	3.29919434
10.03400040	3.29919434
10.03699970	3.29919434
10.03899956	3.29919434
10.04199982	3.29919434
10.04500008	3.29919434
10.04800034	3.29919434
10.05000019	3.29919434
10.05300045	3.29919434
10.05599976	3.29919434
10.05799961	3.29919434
10.06099987	3.29919434
10.06400013	3.29919434
10.06700039	3.29919434
10.06900024	3.29919434
10.07199955	3.29919434
10.07499981	3.29919434
10.07800007	3.29919434
10.07999992	3.29919434
10.08300018	3.29919434
10.08600044	3.29919434
10.08800030	3.29919434
10.09099960	3.29919434
10.09399986	3.29919434
10.09700012	3.29919434
10.09899998	3.29919434
10.10200024	3.29919434
10.10499954	3.29919434
10.10799980	3.29919434
10.10999966	3.29919434
10.11299992	3.29919434
10.11600018	3.29919434
10.11800003	3.29919434
10.12100029	3.29919434
10.12399960	3.29919434
10.12699986	3.29919434
10.12899971	3.29919434
10.13199997	3.29919434
10.13500023	3.29919434
10.13799953	3.29919434
10.14000034	3.29919434
10.14299965	3.29919434
10.14599991	3.29919434
10.14900017	3.29919434
10.15100002	3.29919434
10.15400028	3.29919434
10.15699959	3.29919434
10.15900040	3.29919434
10.16199970	3.29919434
10.16499996	3.29919434
10.16800022	3.29919434
10.17000008	3.29919434
10.17300034	3.29919434
10.17599964	3.29919434
10.17899990	3.29919434
10.18099976	3.29919434
10.18400002	3.29919434
10.18700027	3.29919434
10.18900013	3.29919434
10.19200039	3.29919434
10.19499969	3.29919434
10.19799995	3.29919434
10.19999981	3.29919434
10.20300007	3.29919434
10.20600033	3.29919434
10.20899963	3.29919434
10.21100044	3.29919434
10.21399975	3.29919434
10.21700001	3.29919434
10.22000027	3.29919434
10.22200012	3.29919434
10.22500038	3.29919434
10.22799969	3.29919434
10.22999954	3.29919434
10.23299980	3.29919434
10.23600006	3.29919434
10.23900032	3.29919434
10.24100018	3.29919434
10.24400043	3.29919434
10.24699974	3.29919434
10.25000000	3.29919434
10.25199986	3.29919434
10.25500011	3.29919434
10.25800037	3.29919434
10.26000023	3.29919434
10.26299953	3.29919434
10.26599979	3.29919434
10.26900005	3.29919434
10.27099991	3.29919434
10.27400017	3.29919434
10.27700043	3.29919434
10.27999973	3.29919434
10.28199959	3.29919434
10.28499985	3.29919434
10.28800011	3.29919434
10.29100037	3.29919434
10.29300022	3.29919434
10.29599953	3.29919434
10.29899979	3.29919434
10.30099964	3.29919434
10.30399990	3.29919434
10.30700016	3.29919434
10.31000042	3.29919434
10.31200027	3.29919434
10.31499958	3.29919434
10.31799984	3.29919434
10.32100010	3.29919434
10.32299995	3.29919434
10.32600021	3.29919434
10.32900047	3.29919434
10.33100033	3.29919434
10.33399963	3.29919434
10.33699989	3.29919434
10.34000015	3.29919434
10.34200001	3.29919434
10.34500027	3.29919434
10.34799957	3.29919434
10.35099983	3.29919434
10.35299969	3.29919434
10.35599995	3.29919434
10.35900021	3.29919434
10.36200047	3.29919434
10.36400032	3.29919434
10.36699963	3.29919434
10.36999989	3.29919434
10.37199974	3.29919434
10.37500000	3.29919434
10.37800026	3.29919434
10.38099957	3.29919434
10.38300037	3.29919434
10.38599968	3.29919434
10.38899994	3.29919434
10.39200020	3.29919434
10.39400005	3.29919434
10.39700031	3.29919434
10.39999962	3.29919434
10.40200043	3.29919434
10.40499973	3.29919434
10.40799999	3.29919434
10.41100025	3.29919434
10.41300011	3.29919434
10.41600037	3.29919434
10.41899967	3.29919434
10.42199993	3.29919434
10.42399979	3.29919434
10.42700005	3.29919434
10.43000031	3.29919434
10.43200016	3.29919434
10.43500042	3.29919434
10.43799973	3.29919434
10.44099998	3.29919434
10.44299984	3.29919434
10.44600010	3.29919434
10.44900036	3.29919434
10.45199966	3.29919434
10.45400047	3.29919434
10.45699978	3.29919434
10.46000004	3.29919434
10.46300030	3.29919434
10.46500015	3.29919434
10.46800041	3.29919434
10.47099972	3.29919434
10.47299957	3.29919434
10.47599983	3.29919434
10.47900009	3.29919434
10.48200035	3.29919434
10.48400021	3.29919434
10.48700047	3.29919434
10.48999977	3.29919434
10.49300003	3.29919434
10.49499989	3.29919434
10.49800014	3.29919434
10.50100040	3.29919434
10.50300026	3.29919434
10.50599957	3.29919434
10.50899982	3.29919434
10.51200008	3.29919434
10.51399994	3.29919434
10.51700020	3.29919434
10.52000046	3.29919434
10.52299976	3.29919434
10.52499962	3.29919434
10.52799988	3.29919434
10.53100014	3.29919434
10.53400040	3.29919434
10.53600025	3.29919434
10.53899956	3.29919434
10.54199982	3.29919434
10.54399967	3.29919434
10.54699993	3.29919434
10.55000019	3.29919434
10.55300045	3.29919434
10.55500031	3.29919434
10.55799961	3.29919434
10.56099987	3.29919434
10.56400013	3.29919434
10.56599998	3.29919434
10.56900024	3.29919434
10.57199955	3.29919434
10.57400036	3.29919434
10.57699966	3.29919434
10.57999992	3.29919434
10.58300018	3.29919434
10.58500004	3.29919434
10.58800030	3.29919434
10.59099960	3.29919434
10.59399986	3.29919434
10.59599972	3.29919434
10.59899998	3.29919434
10.60200024	3.29919434
10.60499954	3.29919434
10.60700035	3.29919434
10.60999966	3.29919434
10.61299992	3.29919434
10.61499977	3.29919434
10.61800003	3.29919434
10.62100029	3.29919434
10.62399960	3.29919434
10.62600040	3.29919434
10.62899971	3.29919434
10.63199997	3.29919434
10.63500023	3.29919434
10.63700008	3.29919434
10.64000034	3.29919434
10.64299965	3.29919434
10.64599991	3.29919434
10.64799976	3.29919434
10.65100002	3.29919434
10.65400028	3.29919434
10.65600014	3.29919434
10.65900040	3.29919434
10.66199970	3.29919434
10.66499996	3.29919434
10.66699982	3.29919434
10.67000008	3.29919434
10.67300034	3.29919434
10.67599964	3.29919434
10.67800045	3.29919434
10.68099976	3.29919434
10.68400002	3.29919434
10.68599987	3.29919434
10.68900013	3.29919434
10.69200039	3.29919434
10.69499969	3.29919434
10.69699955	3.29919434
10.69999981	3.29919434
10.70300007	3.29919434
10.70600033	3.29919434
10.70800018	3.29919434
10.71100044	3.29919434
10.71399975	3.29919434
10.71599960	3.29919434
10.71899986	3.29919434
10.72200012	3.29919434
10.72500038	3.29919434
10.72700024	3.29919434
10.72999954	3.29919434
10.73299980	3.29919434
10.73600006	3.29919434
10.73799992	3.29919434
10.74100018	3.29919434
10.74400043	3.29919434
10.74600029	3.29919434
10.74899960	3.29919434
10.75199986	3.29919434
10.75500011	3.29919434
10.75699997	3.29919434
10.76000023	3.29919434
10.76299953	3.29919434
10.76599979	3.29919434
10.76799965	3.29919434
10.77099991	3.29919434
10.77400017	3.29919434
10.77700043	3.29919434
10.77900028	3.29919434
10.78199959	3.29919434
10.78499985	3.29919434
10.78699970	3.29919434
10.78999996	3.29919434
10.79300022	3.29919434
10.79599953	3.29919434
10.79800034	3.29919434
10.80099964	3.29919434
10.80399990	3.29919434
10.80700016	3.29919434
10.80900002	3.29919434
10.81200027	3.29919434
10.81499958	3.29919434
10.81700039	3.29919434
10.81999969	3.29919434
10.82299995	3.29919434
10.82600021	3.29919434
10.82800007	3.29919434
10.83100033	3.29919434
10.83399963	3.29919434
10.83699989	3.29919434
10.83899975	3.29919434
10.84200001	3.29919434
10.84500027	3.29919434
10.84799957	3.29919434
10.85000038	3.29919434
10.85299969	3.29919434
10.85599995	3.29919434
10.85799980	3.29919434
10.86100006	3.29919434
10.86400032	3.29919434
10.86699963	3.29919434
10.86900043	3.29919434
10.87199974	3.29919434
10.87500000	3.29919434
10.87800026	3.29919434
10.88000011	3.29919434
10.88300037	3.29919434
10.88599968	3.29919434
10.88799953	3.29919434
10.89099979	3.29919434
10.89400005	3.29919434
10.89700031	3.29919434
10.89900017	3.29919434
10.90200043	3.29919434
10.90499973	3.29919434
10.90799999	3.29919434
10.90999985	3.29919434
10.91300011	3.29919434
10.91600037	3.29919434
10.91800022	3.29919434
10.92099953	3.29919434
10.92399979	3.29919434
10.92700005	3.29919434
10.92899990	3.29919434
10.93200016	3.29919434
10.93500042	3.29919434
10.93799973	3.29919434
10.93999958	3.29919434
10.94299984	3.29919434
10.94600010	3.29919434
10.94900036	3.29919434
10.95100021	3.29919434
10.95400047	3.29919434
10.95699978	3.29919434
10.95899963	3.29919434
10.96199989	3.29919434
10.96500015	3.29919434
10.96800041	3.29919434
10.97000027	3.29919434
10.97299957	3.29919434
10.97599983	3.29919434
10.97900009	3.29919434
10.98099995	3.29919434
10.98400021	3.29919434
10.98700047	3.29919434
10.98900032	3.29919434
10.99199963	3.29919434
10.99499989	3.29919434
10.99800014	3.29919434
11.00000000	3.29919434
11.00300026	3.29919434
11.00599957	3.29919434
11.00899982	3.29919434
11.01099968	3.29919434
11.01399994	3.29919434
11.01700020	3.29919434
11.01900005	3.29919434
11.02200031	3.29919434
11.02499962	3.29919434
11.02799988	3.29919434
11.02999973	3.29919434
11.03299999	3.29919434
11.03600025	3.29919434
11.03899956	3.29919434
11.04100037	3.29919434
11.04399967	3.29919434
11.04699993	3.29919434
11.05000019	3.29919434
11.05200005	3.29919434
11.05500031	3.29919434
11.05799961	3.29919434
11.06000042	3.29919434
11.06299973	3.29919434
11.06599998	3.29919434
11.06900024	3.29919434
11.07100010	3.29919434
11.07400036	3.29919434
11.07699966	3.29919434
11.07999992	3.29919434
11.08199978	3.29919434
11.08500004	3.29919434
11.08800030	3.29919434
11.09000015	3.29919434
11.09300041	3.29919434
11.09599972	3.29919434
11.09899998	3.29919434
11.10099983	3.29919434
